name,url
mqSetString,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089490_.html
mqSetStringFilter,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089500_.html
mqTrim,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089510_.html
mqTruncateBag,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089520_.html
MQCFH - PCF header,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q088600_.html
MQCFBF - PCF byte string filter parameter,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q088610_.html
MQCFBS - PCF byte string parameter,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q088620_.html
MQCFIF - PCF integer filter parameter,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q088630_.html
MQCFIL - PCF integer list parameter,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q088640_.html
MQCFIN - PCF integer parameter,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q088650_.html
MQCFSF - PCF string filter parameter,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q088660_.html
MQCFSL - PCF string list parameter,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q088670_.html
MQCFST - PCF string parameter,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q088680_.html
MQCFH - PCF header,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q088600_.html
MQCFBF - PCF byte string filter parameter,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q088610_.html
MQCFBS - PCF byte string parameter,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q088620_.html
MQCFIF - PCF integer filter parameter,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q088630_.html
MQCFIL - PCF integer list parameter,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q088640_.html
MQCFIN - PCF integer parameter,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q088650_.html
MQCFSF - PCF string filter parameter,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q088660_.html
MQCFSL - PCF string list parameter,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q088670_.html
MQCFST - PCF string parameter,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q088680_.html
MQCFBS - Byte string parameter,https://www.ibm.com/docs/en/SSFKSJ_latest/reference/q049380_.html
MQCFGR - Group parameter,https://www.ibm.com/docs/en/SSFKSJ_latest/reference/q049390_.html
MQCFH - PCF header,https://www.ibm.com/docs/en/SSFKSJ_latest/reference/q049400_.html
MQCFIL - Integer list parameter,https://www.ibm.com/docs/en/SSFKSJ_latest/reference/q049410_.html
MQCFIL64 - 64-bit integer list parameter,https://www.ibm.com/docs/en/SSFKSJ_latest/reference/q049420_.html
MQCFIN - Integer parameter,https://www.ibm.com/docs/en/SSFKSJ_latest/reference/q049430_.html
